distcode,districtname,g3_8_ela,g3_8_math,g3_8_all_subjects,year,period
0901,Calhoun 01,43.2,24.05,33.625,2025,post_ban
1001,Charleston 01,61.2,52.016666666666666,56.608333333333334,2025,post_ban
1101,Cherokee 01,39.25,26.166666666666664,32.70833333333333,2025,post_ban
1201,Chester 01,44.25,29.8,37.025,2025,post_ban
1301,Chesterfield 01,38.75,25.483333333333334,32.11666666666667,2025,post_ban
1406,Clarendon 06,46.43333333333334,38.06666666666667,42.25,2025,post_ban
1501,Colleton 01,31.933333333333334,17.683333333333334,24.808333333333334,2025,post_ban
1601,Darlington 01,43.733333333333334,34.516666666666666,39.125,2025,post_ban
1703,Dillon 03,51.85,39.333333333333336,45.59166666666667,2025,post_ban
1704,Dillon 04,37.71666666666667,23.066666666666666,30.391666666666666,2025,post_ban
1802,Dorchester 02,59.416666666666664,45.71666666666667,52.56666666666666,2025,post_ban
1804,Dorchester 04,40.68333333333334,28.883333333333333,34.78333333333333,2025,post_ban
1901,Edgefield 01,49.483333333333334,32.91666666666667,41.2,2025,post_ban
2001,Fairfield 01,44.06666666666666,32.233333333333334,38.15,2025,post_ban
2101,Florence 01,52,40.68333333333333,46.34166666666667,2025,post_ban
2102,Florence 02,42.55,33.18333333333333,37.86666666666666,2025,post_ban
2103,Florence 03,43.03333333333333,24.75,33.891666666666666,2025,post_ban
2105,Florence 05,51.68333333333334,38.583333333333336,45.13333333333334,2025,post_ban
2201,Georgetown 01,47.05,37.016666666666666,42.03333333333333,2025,post_ban
2301,Greenville 01,59.75,51.63333333333333,55.69166666666666,2025,post_ban
2450,Greenwood 50,53.8,43.36666666666667,48.58333333333333,2025,post_ban
2451,Greenwood 51,50.583333333333336,40.46666666666667,45.525000000000006,2025,post_ban
